Country,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7
ABW,-1.1130215981923763,-0.42563791657564887,-26.427484600795548,-3.7904391886856903,-0.1983942514883652,2.1149997324215963,0.0
AFG,1.6507780679562822,-0.3934698735426607,-3.071830575258161,2.35976338627657,0.17114892897647227,-4.919613460924765,0.0
AGO,-5.45569075088922,0.9161670300856785,2.025790210716205,-6.842019483405726,-0.3697459004322168,-5.413014628374646,0.0
ALB,1.156938354368564,-0.49474652164047345,-1.1395208439635263,1.4524925337814132,0.11308833402912111,-4.565848236827019,0.0
ARE,-0.32118471916313673,-5.263102469685997,-0.4160263390820318,-0.41258885363353315,-0.13084704195469588,-4.738439919891901,0.0
ARG,-0.13361787386347856,-4.089594429123268,-1.8821496244010638,-2.4329568820640524,-0.039405056940133854,-3.3404661020442927,0.0
ARM,0.9620656450514575,-0.5030273594293677,-0.8608634455760766,0.7181201890461786,0.0693719972606921,-5.080567234874733,0.0
ATG,-2.6891333788014116,-0.41051875057681764,-26.050033264478955,-4.3442213736238795,-0.44323603945148893,4.133263864004455,0.0
AUS,-0.6704778643284337,-0.16664749519870214,-1.1970529601185609,-3.3382242442230092,-0.11064146946914155,-4.8623715106506875,0.0
AUT,-0.1859965855287804,82.72934710410051,-1.1460118309411849,-0.6948422823657707,-0.06923175775978008,-4.728314373151365,0.0
AZE,-1.849164538586956,0.4229903296972278,1.6077493255578057,-0.9253692486964504,-0.08437901611051402,-4.785490815162563,0.0
BDI,1.1429445644794756,-0.47491236752371546,-1.491940517579382,2.3518027669039876,0.1238046966859585,-4.602313738972508,0.0
BEL,-0.26907371394986335,2.611558293374001,-1.4043745840599753,-0.5831895651472574,-0.21406385823808938,-4.059093367330801,0.0
BEN,1.099436349546723,-0.44326168678338856,-4.020846977609982,1.3414650040902698,0.0903723707226689,-4.438899517126238,0.0
BFA,-1.3343368731931649,0.38886482146352197,0.8006438675246974,-1.295766797355502,-0.09884299721294454,-4.786742918089315,0.0
BGD,0.13962628464627702,7.481955365605193,-5.977220727143095,-1.792735975912274,-0.033424987844132836,-5.543967596542476,0.0
BGR,0.18920463664986453,2.3741797002384426,-0.38569471630732766,0.0692415444770722,0.003839071578326525,-4.711544640659726,0.0
BHR,-0.14594691228123624,-18.60214434374173,-0.2744834703708121,-0.5404328411379833,-0.04876714972538165,-4.331619743552729,0.0
BHS,-2.229815201017893,-0.24028806174963796,-17.643845090153608,-6.004115618380279,-0.622039329425339,2.568816276052921,0.0
BIH,1.046887620977044,-0.049253735192690745,-1.521963574375973,0.6668750006226576,0.06147168073131759,-4.649662547126088,0.0
BLR,0.8194691025497303,-0.3795958639692921,-2.025620155929897,1.5501800461003912,0.07576492887872988,-5.084701403634084,0.0
BLZ,-0.7932427590060298,-0.41950016798161227,-10.734108279216347,-2.5109258806854884,-0.2441343793191164,0.4759060260529857,0.0
BMU,-0.2575823210208661,-0.43125135878835574,-19.741438774482866,-3.7607611555927845,-0.09066341715950887,-0.2576260737436553,0.0
BOL,-0.19519438638929687,-0.1649943780349343,-0.3678981947299764,-0.7430975600158041,-0.036064729610374435,-3.9520057343956583,0.0
BRA,-0.4529658333177755,-0.6522210089974448,-1.1098244197395801,-3.4442192462301735,-0.07792169435104634,-3.9293947077621794,0.0
BRB,-0.4809293808196724,-0.4078658232936052,-10.076270469580628,-2.5492154564132896,-0.09424090684452269,0.892467943438513,0.0
BRN,-2.090777338943295,1.0161308108659104,0.054894870156352304,-1.4603499321676594,-0.20573285028785415,-5.013053713012539,0.0
BTN,1.591497344377757,-0.43503933855515897,-1.7771594081401054,2.0293410910736664,0.16240926435344694,-5.0591404544533365,0.0
BWA,-0.21465075442987924,90.86549716294067,-2.1785817877236213,-1.2244429339291707,-0.08757565536241518,-5.248015897660041,0.0
CAF,0.40415261426269833,-0.4717019498174828,-2.1629933522533396,0.6019524089001749,0.02835693024643149,-4.490237294299049,0.0
CAN,-0.9961771452530299,10.50049604921978,-7.001264033389621,-6.9320225451004465,-0.33018731616285546,0.8114797201887125,0.0
CHE,-0.9746921850142032,98.94772709601133,-4.5940535468062205,-3.3437123326257034,-0.33362503705138824,-4.634940581416447,0.0
CHL,-0.7817178867386865,-2.6766125479094383,-2.7911992579311096,-4.285617789338003,-0.21139532512589598,-3.337166812364678,0.0
CHN,-1.1324994207844052,5.593932081568692,-3.935722424042032,-6.988987435572902,-0.16956571381164798,-5.926434725321572,0.0
CIV,-0.31527353318053786,5.0400711421917865,-1.2903365212306617,-1.3760148700709296,-0.0715454126418047,-4.735497085925189,0.0
CMR,0.3764483680541941,-0.5158005415943364,0.6535433939837354,1.4944315800268448,0.05247930694107783,-4.843427863393057,0.0
COD,-1.4494726497767951,0.3180636872000772,0.8781682117601664,-2.3903837769565506,-0.12639831817540248,-5.576737862604353,0.0
COG,-8.701554038427982,0.24656589926504974,1.581522125922108,-4.852687346837725,-0.5026131538973244,-4.587051472626635,0.0
COL,-0.07713773427849846,-2.3285493982906726,-2.3184670811066788,-1.9471676785199565,-0.0524421843722922,-2.0579941638210864,0.0
COM,1.5552583641451179,-0.46372102980715624,-1.5311842641188678,2.7768859614809793,0.1755893419029375,-4.838789959484869,0.0
CPV,1.552411800032294,-0.4522023508149769,-1.4172809804336994,2.830356811659973,0.18373958214688013,-4.22703937858434,0.0
CRI,-0.554943236200589,-4.153334735234098,-4.201234908931129,-4.128740734547021,-0.19609166560244917,-0.62462275033488,0.0
CUW,-0.5492633802403502,-0.4502146825119924,-14.080603925149425,-3.6977057985332573,-0.22109427930813164,-0.20839310010488665,0.0
CYM,0.13400320773158114,-0.43594002629869855,-10.621482784033475,-1.3288830757802073,-0.09980006240677408,-1.4744933960584738,0.0
CYP,1.5735939241748653,-0.34676546775023076,-1.8731535244909114,1.7960234961206911,0.16148518118288546,-4.382978333834798,0.0
CZE,-0.40666483805320564,2.3346843844647105,0.028166363988679777,-0.21560743346344946,-0.016423802887377548,-4.766609744826999,0.0
DEU,-0.7331843767488522,4.1803839919662344,-1.5771849412869354,-2.0322178108583278,-0.1360798777302108,-4.600388676624934,0.0
DJI,4.376128943907398,-0.4317760032685457,-2.40177214864854,2.9899755417498453,0.6254402964094075,-5.413740405851241,0.0
DMA,0.6823407637966739,-0.4360778442589466,-1.2080963736954775,1.0529643306400605,0.08040463013454513,-1.9197632582289903,0.0
DNK,-0.12322349001521182,16.76959865644684,-1.926815951760008,-1.1431034905366788,-0.07022622889800711,-4.59160424536158,0.0
DOM,-0.4230036622596245,-0.4136461018595947,-7.075949859173026,-3.221051914625239,-0.13378154345757842,0.1067705105437966,0.0
DZA,-0.5664030031390266,2.8828784377821464,-0.7969789752476308,-1.9210921632020206,-0.06812106189076905,-4.920362452242644,0.0
ECU,-0.8260536520911077,-1.558549299730716,-2.300654400294322,-4.218873474328621,-0.20821416317519104,-2.4745964843999935,0.0
